# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/04/2026 00:00:00,Class A,211429600,54.693287,8.575183,Under way using engine,0.0,0.0,,62,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,265522730,55.993205,12.744410,Under way using engine,,0.0,308.3,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Base Station,2190064,56.716565,11.519042,Unknown value,,,,,Unknown,Unknown,,Undefined,,,,GPS,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,372002000,57.659545,9.473738,Under way using engine,0.0,14.9,241.0,242,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class B,219016144,55.059632,10.620252,Unknown value,,0.0,14.6,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,219023648,55.972150,11.370698,Under way using engine,0.0,0.0,263.4,198,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class B,219016144,55.059632,10.620252,Unknown value,,0.0,14.6,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,372002000,57.659545,9.473738,Under way using engine,0.0,14.9,241.0,242,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,219023648,55.972150,11.370698,Under way using engine,0.0,0.0,263.4,198,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,372002000,57.659545,9.473738,Under way using engine,0.0,14.9,241.0,242,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,219034309,57.715115,10.583663,Unknown value,0.0,0.0,3.0,115,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,219034309,57.715115,10.583663,Unknown value,0.0,0.0,3.0,115,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,244180240,56.681968,8.231408,Under way using engine,0.0,0.0,308.4,210,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,372002000,57.659545,9.473738,Under way using engine,0.0,14.9,241.0,242,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,244475000,54.638118,11.374912,Under way using engine,0.0,0.0,81.5,29,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,244475000,54.638118,11.374912,Under way using engine,0.0,0.0,81.5,29,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,247312900,54.843883,12.507800,Under way using engine,0.0,16.3,213.1,213,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,219168000,56.698118,8.219627,Engaged in fishing,0.0,0.0,297.8,335,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Base Station,2190064,56.716565,11.519042,Unknown value,,,,,Unknown,Unknown,,Undefined,,,,GPS,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,247312900,54.843883,12.507800,Under way using engine,0.0,16.3,213.1,213,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,257654500,57.618593,8.130472,Under way using engine,0.0,3.4,77.1,64,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,244180240,56.681968,8.231408,Under way using engine,0.0,0.0,308.4,210,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Base Station,2190064,56.716565,11.519042,Unknown value,,,,,Unknown,Unknown,,Undefined,,,,GPS,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,219012671,57.847610,9.044198,Engaged in fishing,0.0,2.5,241.2,245,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,219033720,55.060388,10.620613,Under way using engine,0.0,0.0,331.1,214,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Base Station,2190064,56.716565,11.519042,Unknown value,,,,,Unknown,Unknown,,Undefined,,,,GPS,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,219033720,55.060388,10.620613,Under way using engine,0.0,0.0,331.1,214,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,211255580,54.470297,9.036537,Under way using engine,0.0,0.0,154.3,151,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,220622000,56.550985,7.955455,Engaged in fishing,0.0,7.1,339.3,340,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,211325510,57.718993,10.600457,Under way using engine,0.0,0.0,4.6,224,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,211325510,57.718993,10.600457,Under way using engine,0.0,0.0,4.6,224,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,255916027,56.151287,7.778367,Under way using engine,0.0,8.1,25.3,22,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,230666000,91.000000,0.000000,Unknown value,,,,,9100138,OJRV,BALTIC MADONNA,Cargo,Reserved for future use,14,90,GPS,4.6,KRISTIANSAND,27/04/2026 07:00:00,AIS,77,13,7,7
26/04/2026 00:00:00,Class A,352004307,56.386697,12.475178,Under way using engine,,3.0,93.1,75,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,352004307,56.386697,12.475178,Under way using engine,,3.0,93.1,75,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,255916027,56.151287,7.778367,Under way using engine,0.0,8.1,25.3,22,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/04/2026 00:00:00,Class A,246554000,56.938308,11.794647,Under way using engine,0.7,14.9,340.3,341,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
